                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1027      0.0483       8.254      28.902      29.818              
         4.6        0.02      0.0438      0.1024      0.0487       8.323      29.143      29.733              
         9.2        0.04      0.0866      0.1021      0.0491       8.393      29.388      29.639              
        13.8        0.06      0.1284      0.1017      0.0495       8.460      29.622      29.523              
        18.4        0.08      0.1690      0.1010      0.0498       8.503      29.772      29.307              
        23.0        0.10      0.2086      0.0997      0.0498       8.507      29.787      28.948              
        27.6        0.12      0.2470      0.0981      0.0496       8.477      29.683      28.466              
        32.2        0.15      0.2843      0.0962      0.0493       8.426      29.502      27.913              
        36.8        0.17      0.3204      0.0940      0.0489       8.357      29.260      27.296              
        41.4        0.19      0.3546      0.0917      0.0485       8.280      28.992      26.610              
        46.0        0.21      0.3875      0.0891      0.0479       8.189      28.672      25.876              
        50.6        0.23      0.4187      0.0864      0.0473       8.081      28.296      25.088              
        55.2        0.25      0.4482      0.0835      0.0466       7.960      27.870      24.245              
        59.8        0.27      0.4759      0.0804      0.0458       7.819      27.377      23.342              
        64.4        0.29      0.5031      0.0767      0.0445       7.598      26.604      22.270              
        69.0        0.31      0.5280      0.0724      0.0429       7.323      25.640      21.023              
        73.6        0.33      0.5514      0.0679      0.0410       7.014      24.558      19.713              
        78.2        0.35      0.5727      0.0632      0.0391       6.680      23.390      18.353              
        82.8        0.37      0.5917      0.0585      0.0371       6.332      22.169      16.974              
        87.4        0.40      0.6079      0.0536      0.0349       5.965      20.887      15.566              
        92.0        0.42      0.6209      0.0487      0.0327       5.584      19.554      14.140              
        96.6        0.44      0.6311      0.0438      0.0304       5.188      18.166      12.716              
       101.2        0.46      0.6344      0.0389      0.0281       4.807      16.830      11.305              
       105.8        0.48      0.6085      0.0324      0.0255       4.364      15.281       9.418              
       110.4        0.50      0.5966      0.0290      0.0243       4.152      14.538       8.417              
       114.9        0.52      0.5570      0.0238      0.0223       3.803      13.316       6.911              
       119.5        0.54      0.4974      0.0184      0.0200       3.418      11.969       5.334              
       124.1        0.56      0.4067      0.0124      0.0172       2.936      10.282       3.608              
       128.7        0.58      0.2640      0.0064      0.0142       2.431       8.510       1.869              
       133.3        0.60      0.0025      0.0000      0.0112       1.912       6.694       0.013              
                                                                                                              
                                                                                                              
                                                                                                              
