                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1012      0.0556       1.629      10.264       9.070              
         3.0        0.02      0.0455      0.1002      0.0530       1.554       9.794       8.975              
         5.9        0.05      0.0942      0.0989      0.0505       1.479       9.324       8.856              
         8.9        0.07      0.1460      0.0973      0.0481       1.410       8.886       8.718              
        11.8        0.10      0.1991      0.0956      0.0462       1.354       8.534       8.561              
        14.8        0.12      0.2526      0.0936      0.0446       1.307       8.235       8.386              
        17.7        0.14      0.3059      0.0915      0.0432       1.265       7.974       8.195              
        20.7        0.17      0.3583      0.0891      0.0419       1.228       7.741       7.987              
        23.6        0.19      0.4094      0.0866      0.0407       1.194       7.522       7.760              
        26.6        0.22      0.4588      0.0839      0.0396       1.160       7.314       7.516              
        29.5        0.24      0.5057      0.0810      0.0385       1.129       7.116       7.254              
        32.5        0.26      0.5496      0.0779      0.0375       1.099       6.925       6.975              
        35.4        0.29      0.5901      0.0745      0.0365       1.069       6.737       6.679              
        38.4        0.31      0.6270      0.0710      0.0355       1.039       6.547       6.365              
        41.3        0.34      0.6600      0.0674      0.0344       1.008       6.351       6.036              
        44.3        0.36      0.6891      0.0635      0.0333       0.975       6.145       5.691              
        47.2        0.39      0.7148      0.0596      0.0321       0.940       5.927       5.338              
        50.2        0.41      0.7379      0.0556      0.0308       0.903       5.689       4.978              
        53.1        0.43      0.7588      0.0514      0.0294       0.861       5.424       4.609              
        56.1        0.46      0.7773      0.0472      0.0278       0.814       5.130       4.231              
        59.0        0.48      0.7926      0.0429      0.0261       0.764       4.813       3.845              
        62.0        0.51      0.8042      0.0385      0.0242       0.709       4.469       3.450              
        64.9        0.53      0.8127      0.0340      0.0222       0.650       4.094       3.048              
        67.9        0.55      0.8174      0.0294      0.0199       0.584       3.681       2.637              
        70.8        0.58      0.8151      0.0248      0.0175       0.514       3.240       2.218              
        73.8        0.60      0.7995      0.0200      0.0150       0.440       2.774       1.789              
        76.7        0.63      0.7653      0.0151      0.0123       0.362       2.280       1.353              
        79.7        0.65      0.6963      0.0101      0.0094       0.277       1.743       0.906              
        82.6        0.67      0.5287      0.0051      0.0065       0.190       1.195       0.455              
        85.6        0.70     -0.0063      0.0000      0.0037       0.109       0.688      -0.003              
                                                                                                              
                                                                                                              
                                                                                                              
