                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1895      0.2390      17.203     108.424      34.834              
         5.0        0.03      0.0281      0.1893      0.2306      16.593     104.578      34.799              
        10.1        0.07      0.0585      0.1889      0.2217      15.952     100.539      34.742              
        15.1        0.10      0.0913      0.1885      0.2124      15.287      96.349      34.661              
        20.1        0.14      0.1271      0.1879      0.2028      14.597      91.996      34.552              
        25.2        0.17      0.1663      0.1872      0.1929      13.884      87.502      34.413              
        30.2        0.21      0.2096      0.1863      0.1828      13.156      82.916      34.247              
        35.2        0.24      0.2576      0.1851      0.1725      12.413      78.235      34.040              
        40.3        0.27      0.3111      0.1837      0.1620      11.659      73.483      33.786              
        45.3        0.31      0.3710      0.1821      0.1514      10.899      68.692      33.480              
        50.3        0.34      0.4361      0.1793      0.1410      10.148      63.956      32.976              
        55.4        0.38      0.5042      0.1743      0.1304       9.384      59.145      32.052              
        60.4        0.41      0.5699      0.1675      0.1209       8.704      54.859      30.802              
        65.4        0.45      0.6199      0.1589      0.1142       8.221      51.811      29.209              
        70.5        0.48      0.6570      0.1504      0.1099       7.906      49.828      27.646              
        75.5        0.51      0.6879      0.1418      0.1060       7.632      48.102      26.079              
        80.5        0.55      0.7167      0.1331      0.1019       7.331      46.204      24.470              
        85.6        0.58      0.7433      0.1242      0.0974       7.007      44.163      22.828              
        90.6        0.62      0.7675      0.1150      0.0925       6.656      41.948      21.147              
        95.6        0.65      0.7900      0.1056      0.0871       6.268      39.506      19.420              
       100.7        0.69      0.8105      0.0960      0.0812       5.847      36.853      17.656              
       105.7        0.72      0.8286      0.0862      0.0749       5.391      33.979      15.850              
       110.7        0.75      0.8435      0.0762      0.0681       4.903      30.900      14.007              
       115.8        0.79      0.8537      0.0660      0.0609       4.385      27.636      12.127              
       120.8        0.82      0.8561      0.0555      0.0534       3.840      24.200      10.206              
       125.8        0.86      0.8438      0.0448      0.0455       3.277      20.655       8.242              
       130.9        0.89      0.8029      0.0340      0.0377       2.713      17.098       6.242              
       135.9        0.93      0.7091      0.0229      0.0299       2.151      13.556       4.209              
       140.9        0.96      0.5062      0.0115      0.0218       1.571       9.903       2.116              
       145.9        0.99     -0.0049     -0.0001      0.0136       0.981       6.182      -0.012              
                                                                                                              
                                                                                                              
                                                                                                              
