
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)
         0.0        0.00      0.0000      0.1062      0.0369       3.892      20.439      24.662
         3.6        0.02      0.0597      0.1046      0.0370       3.910      20.533      24.289
         7.2        0.04      0.1171      0.1026      0.0371       3.911      20.544      23.836
        10.8        0.06      0.1723      0.1005      0.0370       3.903      20.497      23.330
        14.4        0.08      0.2254      0.0981      0.0368       3.886      20.408      22.784
        18.0        0.11      0.2763      0.0956      0.0366       3.861      20.279      22.203
        21.6        0.13      0.3251      0.0929      0.0363       3.829      20.108      21.585
        25.2        0.15      0.3718      0.0901      0.0359       3.788      19.893      20.933
        28.8        0.17      0.4163      0.0872      0.0354       3.739      19.636      20.247
        32.4        0.19      0.4587      0.0841      0.0349       3.682      19.337      19.528
        36.0        0.21      0.4987      0.0808      0.0343       3.617      18.997      18.771
        39.6        0.23      0.5365      0.0775      0.0336       3.544      18.612      17.986
        43.2        0.25      0.5717      0.0740      0.0328       3.465      18.201      17.180
        46.8        0.27      0.6047      0.0704      0.0320       3.379      17.746      16.354
        50.5        0.30      0.6356      0.0668      0.0311       3.282      17.239      15.506
        54.1        0.32      0.6645      0.0630      0.0301       3.175      16.677      14.637
        57.7        0.34      0.6911      0.0592      0.0290       3.058      16.060      13.744
        61.3        0.36      0.7156      0.0552      0.0277       2.927      15.375      12.823
        64.9        0.38      0.7378      0.0512      0.0264       2.785      14.628      11.879
        68.5        0.40      0.7571      0.0470      0.0249       2.632      13.822      10.912
        72.1        0.42      0.7730      0.0427      0.0234       2.467      12.958       9.922
        75.7        0.44      0.7849      0.0384      0.0217       2.291      12.032       8.910
        79.3        0.47      0.7899      0.0339      0.0200       2.109      11.076       7.879
        82.9        0.49      0.7867      0.0294      0.0182       1.918      10.074       6.827
        86.5        0.51      0.7720      0.0248      0.0163       1.719       9.027       5.753
        90.1        0.53      0.7396      0.0201      0.0143       1.513       7.947       4.659
        93.7        0.55      0.6785      0.0153      0.0124       1.305       6.854       3.544
        97.3        0.57      0.5567      0.0103      0.0106       1.117       5.866       2.397
       100.9        0.59      0.3415      0.0051      0.0088       0.930       4.885       1.180
       104.5        0.61     -0.0034      0.0000      0.0072       0.765       4.019      -0.009



