                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0848      0.0269       0.262       4.127       4.536              
         1.3        0.02      0.0576      0.0830      0.0268       0.260       4.101       4.441              
         2.5        0.04      0.1134      0.0811      0.0266       0.259       4.075       4.341              
         3.8        0.06      0.1671      0.0792      0.0264       0.257       4.048       4.236              
         5.1        0.07      0.2186      0.0771      0.0262       0.255       4.019       4.126              
         6.3        0.09      0.2678      0.0750      0.0260       0.253       3.988       4.012              
         7.6        0.11      0.3145      0.0728      0.0258       0.251       3.953       3.893              
         8.9        0.13      0.3588      0.0704      0.0255       0.248       3.913       3.768              
        10.1        0.15      0.4003      0.0680      0.0253       0.246       3.871       3.639              
        11.4        0.17      0.4394      0.0655      0.0249       0.243       3.821       3.505              
        12.7        0.19      0.4759      0.0629      0.0246       0.239       3.765       3.367              
        13.9        0.20      0.5101      0.0603      0.0242       0.235       3.703       3.226              
        15.2        0.22      0.5419      0.0576      0.0237       0.230       3.630       3.079              
        16.5        0.24      0.5711      0.0548      0.0232       0.225       3.550       2.930              
        17.7        0.26      0.5979      0.0519      0.0226       0.220       3.460       2.777              
        19.0        0.28      0.6223      0.0489      0.0219       0.213       3.360       2.619              
        20.3        0.30      0.6443      0.0459      0.0212       0.206       3.248       2.457              
        21.5        0.32      0.6634      0.0428      0.0204       0.198       3.125       2.291              
        22.8        0.33      0.6792      0.0397      0.0195       0.190       2.993       2.122              
        24.1        0.35      0.6919      0.0364      0.0186       0.181       2.847       1.948              
        25.3        0.37      0.7011      0.0331      0.0175       0.171       2.687       1.770              
        26.6        0.39      0.7057      0.0297      0.0164       0.160       2.514       1.587              
        27.9        0.41      0.7047      0.0262      0.0152       0.148       2.327       1.400              
        29.1        0.43      0.6958      0.0226      0.0139       0.135       2.128       1.210              
        30.4        0.45      0.6754      0.0190      0.0125       0.122       1.922       1.016              
        31.7        0.46      0.6390      0.0153      0.0111       0.108       1.705       0.819              
        32.9        0.48      0.5779      0.0115      0.0097       0.094       1.479       0.618              
        34.2        0.50      0.4771      0.0077      0.0081       0.079       1.247       0.414              
        35.5        0.52      0.3062      0.0039      0.0066       0.064       1.013       0.208              
        36.7        0.54     -0.0026      0.0000      0.0051       0.049       0.779      -0.001              
                                                                                                              
                                                                                                              
                                                                                                              
