                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0967      0.0372       7.531      43.148      39.136              
         3.5        0.02      0.0478      0.0950      0.0368       7.445      42.657      38.451              
         6.9        0.04      0.0949      0.0932      0.0363       7.353      42.129      37.711              
        10.4        0.06      0.1411      0.0912      0.0359       7.257      41.579      36.915              
        13.9        0.07      0.1866      0.0891      0.0353       7.145      40.941      36.043              
        17.3        0.09      0.2310      0.0867      0.0347       7.023      40.241      35.084              
        20.8        0.11      0.2740      0.0841      0.0341       6.891      39.484      34.032              
        24.3        0.13      0.3154      0.0813      0.0334       6.753      38.692      32.901              
        27.7        0.15      0.3548      0.0785      0.0328       6.628      37.976      31.782              
        31.2        0.17      0.3926      0.0757      0.0321       6.491      37.191      30.615              
        34.7        0.18      0.4287      0.0727      0.0314       6.349      36.378      29.432              
        38.1        0.20      0.4633      0.0698      0.0306       6.199      35.516      28.232              
        41.6        0.22      0.4964      0.0666      0.0298       6.026      34.524      26.954              
        45.1        0.24      0.5276      0.0634      0.0289       5.850      33.516      25.669              
        48.6        0.26      0.5571      0.0602      0.0280       5.661      32.437      24.357              
        52.0        0.28      0.5827      0.0569      0.0271       5.485      31.426      23.038              
        55.5        0.30      0.6089      0.0534      0.0260       5.252      30.095      21.613              
        59.0        0.31      0.6339      0.0497      0.0247       4.992      28.605      20.130              
        62.4        0.33      0.6557      0.0460      0.0234       4.730      27.102      18.630              
        65.9        0.35      0.6736      0.0422      0.0220       4.456      25.529      17.079              
        69.4        0.37      0.6875      0.0383      0.0206       4.171      23.898      15.502              
        72.8        0.39      0.6964      0.0344      0.0192       3.885      22.257      13.929              
        76.3        0.41      0.6992      0.0305      0.0177       3.587      20.549      12.325              
        79.8        0.43      0.6919      0.0264      0.0162       3.282      18.804      10.675              
        83.2        0.44      0.6846      0.0222      0.0144       2.915      16.702       8.991              
        86.7        0.46      0.6596      0.0180      0.0126       2.549      14.603       7.271              
        90.2        0.48      0.6075      0.0136      0.0108       2.177      12.472       5.499              
        93.6        0.50      0.5151      0.0092      0.0089       1.799      10.309       3.712              
        97.1        0.52      0.3358      0.0046      0.0071       1.438       8.238       1.864              
       100.6        0.54     -0.0081     -0.0001      0.0056       1.133       6.490      -0.034              
                                                                                                              
                                                                                                              
                                                                                                              
