                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0809      0.0385      11.645      81.548      48.905              
         3.9        0.02      0.0438      0.0809      0.0388      11.731      82.149      48.920              
         7.9        0.04      0.0868      0.0810      0.0392      11.833      82.864      48.936              
        11.8        0.06      0.1292      0.0810      0.0395      11.928      83.533      48.951              
        15.7        0.08      0.1709      0.0810      0.0398      12.020      84.175      48.965              
        19.7        0.10      0.2112      0.0810      0.0403      12.166      85.195      48.980              
        23.6        0.13      0.2530      0.0806      0.0401      12.115      84.839      48.699              
        27.5        0.15      0.2961      0.0794      0.0394      11.902      83.349      47.987              
        31.5        0.17      0.3398      0.0779      0.0385      11.628      81.428      47.071              
        35.4        0.19      0.3835      0.0760      0.0374      11.313      79.222      45.944              
        39.3        0.21      0.4271      0.0737      0.0362      10.947      76.657      44.569              
        43.3        0.23      0.4691      0.0710      0.0349      10.562      73.967      42.940              
        47.2        0.25      0.5083      0.0682      0.0338      10.204      71.460      41.198              
        51.1        0.27      0.5447      0.0653      0.0327       9.880      69.190      39.460              
        55.1        0.29      0.5793      0.0623      0.0316       9.550      66.880      37.668              
        59.0        0.31      0.6108      0.0591      0.0305       9.206      64.471      35.734              
        62.9        0.34      0.6404      0.0557      0.0292       8.822      61.779      33.659              
        66.9        0.36      0.6678      0.0521      0.0278       8.410      58.893      31.491              
        70.8        0.38      0.6898      0.0484      0.0265       8.008      56.079      29.254              
        74.7        0.40      0.7061      0.0447      0.0252       7.623      53.384      27.004              
        78.7        0.42      0.7189      0.0407      0.0238       7.187      50.327      24.624              
        82.6        0.44      0.7301      0.0366      0.0221       6.684      46.803      22.149              
        86.6        0.46      0.7385      0.0324      0.0203       6.122      42.874      19.589              
        90.5        0.48      0.7440      0.0280      0.0182       5.497      38.494      16.950              
        94.4        0.50      0.7428      0.0236      0.0160       4.829      33.817      14.246              
        98.4        0.52      0.7326      0.0190      0.0136       4.106      28.750      11.467              
       102.3        0.55      0.6988      0.0143      0.0112       3.372      23.614       8.639              
       106.2        0.57      0.5958      0.0096      0.0092       2.769      19.390       5.824              
       110.2        0.59      0.3851      0.0049      0.0074       2.237      15.665       2.933              
       114.1        0.61     -0.0032      0.0000      0.0057       1.728      12.098      -0.018              
                                                                                                              
                                                                                                              
                                                                                                              
